name,pts,ast,reb,blk,stl,sal,age,mp,fga
Josh Green,8.2,2.3,3.2,0.2,0.8,4765339.0,23,26.4,6.6
AJ Griffin,2.4,0.3,0.9,0.1,0.1,3712920.0,20,8.6,3.1
Quentin Grimes,7.0,1.3,2.0,0.1,0.7,2385720.0,23,20.1,6.4
Mouhamed Gueye,4.0,0.7,3.7,0.7,0.8,1119563.0,21,12.2,3.8
Rui Hachimura,13.6,1.2,4.3,0.4,0.6,15740741.0,25,26.9,9.9
Ashton Hagans,4.2,2.8,2.4,0.5,0.6,103550.0,24,16.6,3.7
Tyrese Haliburton,20.1,10.9,3.9,0.7,1.2,5808435.0,23,32.2,15.2
Tim Hardaway Jr.,14.4,1.8,3.2,0.1,0.5,17897728.0,31,26.8,12.4
James Harden,16.6,8.5,5.1,0.8,1.1,35680595.0,34,34.3,11.4
Jaden Hardy,7.3,1.5,1.8,0.1,0.3,1719864.0,21,13.5,6.6
Gary Harris,6.9,1.6,1.7,0.3,0.9,13000000.0,29,24.0,5.5
Joe Harris,2.4,0.6,0.8,0.1,0.2,19928571.0,32,10.6,2.4
Tobias Harris,17.2,3.1,6.5,0.7,1.0,39270150.0,31,33.8,13.6
Josh Hart,9.4,4.1,8.3,0.3,0.9,12960000.0,28,33.4,8.4
Isaiah Hartenstein,7.8,2.5,8.3,1.1,1.2,9245121.0,25,25.3,4.9
Sam Hauser,9.0,1.0,3.5,0.3,0.5,1927896.0,26,22.0,7.1
Jordan Hawkins,7.8,1.0,2.2,0.1,0.3,4310160.0,21,17.3,6.8
Jaxson Hayes,4.3,0.5,3.0,0.4,0.5,2165000.0,23,12.5,2.5
Killian Hayes,6.9,4.9,2.8,0.5,0.9,7413955.0,22,24.0,6.7
Gordon Hayward,9.8,3.1,3.5,0.3,0.8,33319397.0,33,24.4,7.9
Scoot Henderson,14.0,5.4,3.1,0.2,0.8,9770880.0,19,28.5,12.9
Taylor Hendricks,7.3,0.8,4.6,0.8,0.7,5569920.0,20,21.4,6.0
Tyler Herro,20.8,4.5,5.3,0.1,0.7,27000000.0,24,33.5,17.5
Buddy Hield,12.1,2.8,3.2,0.5,0.8,19845098.0,31,25.7,10.1
Haywood Highsmith,6.1,1.1,3.2,0.5,0.8,1902137.0,27,20.7,5.0
Aaron Holiday,6.6,1.8,1.6,0.1,0.5,2019706.0,27,16.3,5.3
Jrue Holiday,12.5,4.8,5.4,0.8,0.9,36861707.0,33,32.8,10.0
Justin Holiday,4.0,1.2,1.2,0.2,0.6,2019706.0,34,14.9,3.3
Richaun Holmes,5.0,0.6,4.6,0.5,0.3,12046020.0,30,13.9,3.7
Chet Holmgren,16.5,2.4,7.9,2.3,0.6,10386000.0,21,29.4,11.6
Jalen Hood-Schifino,1.6,0.4,0.6,0.1,0.1,3695040.0,20,5.2,2.1
Al Horford,8.6,2.6,6.4,1.0,0.6,10000000.0,37,26.8,6.4
Talen Horton-Tucker,10.1,3.5,2.4,0.4,0.9,11020000.0,23,19.8,9.1
Danuel House Jr.,4.2,0.8,1.7,0.1,0.4,4310250.0,30,15.0,3.1
Caleb Houstan,4.3,0.5,1.4,0.1,0.3,2000000.0,21,13.8,3.5
Jett Howard,1.6,0.3,0.4,0.1,0.1,5026800.0,20,3.7,1.7
Kevin Huerter,10.2,2.6,3.5,0.4,0.7,15669643.0,25,24.4,8.8
De'Andre Hunter,15.6,1.5,3.9,0.3,0.7,20089286.0,26,29.5,11.6
Bones Hyland,6.9,2.5,1.5,0.1,0.7,2306400.0,23,14.6,6.8
Joe Ingles,4.4,3.0,2.1,0.1,0.6,11000000.0,36,17.2,3.3
Brandon Ingram,20.8,5.7,5.1,0.6,0.8,33833400.0,26,32.9,15.9
Kyrie Irving,25.6,5.2,5.0,0.5,1.3,37037037.0,31,35.0,19.5
Jonathan Isaac,6.8,0.5,4.5,1.2,0.7,17400000.0,26,15.8,4.9
Jaden Ivey,15.4,3.8,3.4,0.5,0.7,7614480.0,21,28.8,12.6
Andre Jackson Jr.,2.2,0.9,2.0,0.1,0.3,1119563.0,22,10.0,1.8
GG Jackson II,14.6,1.2,4.1,0.5,0.6,1991428.0,19,25.7,11.7
Isaiah Jackson,6.5,0.8,4.0,1.0,0.6,2696280.0,22,13.1,3.9
Jaren Jackson Jr.,22.5,2.3,5.5,1.6,1.2,27102202.0,24,32.2,17.6
Reggie Jackson,10.2,3.8,1.9,0.2,0.5,5000000.0,33,22.2,9.2
Trayce Jackson-Davis,7.9,1.2,5.0,1.1,0.4,1119563.0,23,16.6,4.9
LeBron James,25.7,8.3,7.3,0.5,1.3,47607350.0,39,35.3,17.9
